[ 2024-10-28 10:28:31,748 ] 1038 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2024-10-28 10:28:32,464 ] 1038 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2024-10-28 10:28:32,868 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2024-10-28 10:28:32,871 ] 107 dagshub - INFO - Accessing as anshusmartml
[ 2024-10-28 10:28:33,257 ] 1038 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/anshusmartml/networksecurity "HTTP/1.1 200 OK"
[ 2024-10-28 10:28:33,270 ] 107 dagshub - INFO - Initialized MLflow to track repo "anshusmartml/networksecurity"
[ 2024-10-28 10:28:33,270 ] 107 dagshub - INFO - Repository anshusmartml/networksecurity initialized!
[ 2024-10-28 10:28:33,270 ] 20 root - INFO - Initiate the data ingestion
[ 2024-10-28 10:28:36,797 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-10-28 10:28:36,797 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-28 10:28:36,797 ] 75 root - INFO - Exporting train and test file path.
[ 2024-10-28 10:28:36,934 ] 84 root - INFO - Exported train and test file path.
[ 2024-10-28 10:28:36,934 ] 22 root - INFO - Data Initiation Completed
[ 2024-10-28 10:28:36,956 ] 26 root - INFO - Initiate the data Validation
[ 2024-10-28 10:28:37,067 ] 32 root - INFO - Required number of columns:2
[ 2024-10-28 10:28:37,067 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-28 10:28:37,067 ] 32 root - INFO - Required number of columns:2
[ 2024-10-28 10:28:37,067 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-28 10:28:37,382 ] 28 root - INFO - data Validation Completed
[ 2024-10-28 10:28:37,382 ] 31 root - INFO - data Transformation started
[ 2024-10-28 10:28:37,382 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-28 10:28:37,382 ] 65 root - INFO - Starting data transformation
[ 2024-10-28 10:28:37,452 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-28 10:28:37,452 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-28 10:28:37,476 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-28 10:28:37,476 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-28 10:28:37,476 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-28 10:28:37,492 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-28 10:28:37,492 ] 35 root - INFO - data Transformation completed
[ 2024-10-28 10:28:37,492 ] 37 root - INFO - Model Training sstared
