[ 2024-10-27 21:39:23,669 ] 20 root - INFO - Initiate the data ingestion
[ 2024-10-27 21:39:29,704 ] 65 root - INFO - Performed train test split on the dataframe
[ 2024-10-27 21:39:29,704 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2024-10-27 21:39:29,708 ] 75 root - INFO - Exporting train and test file path.
[ 2024-10-27 21:39:29,761 ] 84 root - INFO - Exported train and test file path.
[ 2024-10-27 21:39:29,761 ] 22 root - INFO - Data Initiation Completed
[ 2024-10-27 21:39:29,768 ] 26 root - INFO - Initiate the data Validation
[ 2024-10-27 21:39:29,841 ] 32 root - INFO - Required number of columns:2
[ 2024-10-27 21:39:29,844 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-27 21:39:29,844 ] 32 root - INFO - Required number of columns:2
[ 2024-10-27 21:39:29,844 ] 33 root - INFO - Data frame has columns:31
[ 2024-10-27 21:39:29,994 ] 28 root - INFO - data Validation Completed
[ 2024-10-27 21:39:29,994 ] 31 root - INFO - data Transformation started
[ 2024-10-27 21:39:29,994 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2024-10-27 21:39:29,994 ] 65 root - INFO - Starting data transformation
[ 2024-10-27 21:39:30,025 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2024-10-27 21:39:30,025 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2024-10-27 21:39:30,042 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-27 21:39:30,045 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-27 21:39:30,045 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2024-10-27 21:39:30,049 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2024-10-27 21:39:30,051 ] 35 root - INFO - data Transformation completed
[ 2024-10-27 21:39:30,051 ] 37 root - INFO - Model Training sstared
